activityid subid variable value
1 1 1 tBodyAccmeanX 0.277330758736842
2 2 1 tBodyAccmeanX 0.255461689622641
3 3 1 tBodyAccmeanX 0.289188320408163
4 4 1 tBodyAccmeanX 0.261237565425532
5 5 1 tBodyAccmeanX 0.278917629056604
6 6 1 tBodyAccmeanX 0.22159824394
7 1 2 tBodyAccmeanX 0.276426586440678
8 2 2 tBodyAccmeanX 0.247164790395833
9 3 2 tBodyAccmeanX 0.27761534806383
10 4 2 tBodyAccmeanX 0.27708735173913
11 5 2 tBodyAccmeanX 0.277911472222222
12 6 2 tBodyAccmeanX 0.281373403958333
13 1 3 tBodyAccmeanX 0.275567462068966
14 2 3 tBodyAccmeanX 0.260819873067797
15 3 3 tBodyAccmeanX 0.292423484693878
16 4 3 tBodyAccmeanX 0.257197599134615
17 5 3 tBodyAccmeanX 0.280046513278689
18 6 3 tBodyAccmeanX 0.275516852741935
19 1 4 tBodyAccmeanX 0.278582015166667
20 2 4 tBodyAccmeanX 0.270876696730769
21 3 4 tBodyAccmeanX 0.279965329555556
22 4 4 tBodyAccmeanX 0.27153827992
23 5 4 tBodyAccmeanX 0.280499745892857
24 6 4 tBodyAccmeanX 0.263559214981481
25 1 5 tBodyAccmeanX 0.27784234625
26 2 5 tBodyAccmeanX 0.268459469914894
27 3 5 tBodyAccmeanX 0.29354392712766
28 4 5 tBodyAccmeanX 0.273694139545455
29 5 5 tBodyAccmeanX 0.282544390892857
30 6 5 tBodyAccmeanX 0.278334325576923
31 1 6 tBodyAccmeanX 0.283658868070175
32 2 6 tBodyAccmeanX 0.268229355098039
33 3 6 tBodyAccmeanX 0.277045258145833
34 4 6 tBodyAccmeanX 0.276778487454545
35 5 6 tBodyAccmeanX 0.280346248596491
36 6 6 tBodyAccmeanX 0.248656520140351
37 1 7 tBodyAccmeanX 0.275592961754386
38 2 7 tBodyAccmeanX 0.248706923078431
39 3 7 tBodyAccmeanX 0.28030708
40 4 7 tBodyAccmeanX 0.284674637291667
41 5 7 tBodyAccmeanX 0.282723539433962
42 6 7 tBodyAccmeanX 0.250176694038462
43 1 8 tBodyAccmeanX 0.27468631
44 2 8 tBodyAccmeanX 0.258880152048781
45 3 8 tBodyAccmeanX 0.283484089210526
46 4 8 tBodyAccmeanX 0.267491472934783
47 5 8 tBodyAccmeanX 0.279620986111111
48 6 8 tBodyAccmeanX 0.261254282907407
49 1 9 tBodyAccmeanX 0.278502842115385
50 2 9 tBodyAccmeanX 0.262436475714286
51 3 9 tBodyAccmeanX 0.295923445
52 4 9 tBodyAccmeanX 0.24832674354
53 5 9 tBodyAccmeanX 0.282310057333333
54 6 9 tBodyAccmeanX 0.2591955368
55 1 10 tBodyAccmeanX 0.278574076603774
56 2 10 tBodyAccmeanX 0.267121853404255
57 3 10 tBodyAccmeanX 0.290401594315789
58 4 10 tBodyAccmeanX 0.270612056481481
59 5 10 tBodyAccmeanX 0.276650300681818
60 6 10 tBodyAccmeanX 0.280230574137931
61 1 11 tBodyAccmeanX 0.271821892881356
62 2 11 tBodyAccmeanX 0.263775859277778
63 3 11 tBodyAccmeanX 0.291605631956522
64 4 11 tBodyAccmeanX 0.276590197358491
65 5 11 tBodyAccmeanX 0.277715562765957
66 6 11 tBodyAccmeanX 0.280592970877193
67 1 12 tBodyAccmeanX 0.2771286656
68 2 12 tBodyAccmeanX 0.272970338653846
69 3 12 tBodyAccmeanX 0.281521097391304
70 4 12 tBodyAccmeanX 0.275007224901961
71 5 12 tBodyAccmeanX 0.277405834918033
72 6 12 tBodyAccmeanX 0.260113433
73 1 13 tBodyAccmeanX 0.275883130350877
74 2 13 tBodyAccmeanX 0.258203939581818
75 3 13 tBodyAccmeanX 0.294907553404255
76 4 13 tBodyAccmeanX 0.274328499591837
77 5 13 tBodyAccmeanX 0.277758431052632
78 6 13 tBodyAccmeanX 0.276716360483871
79 1 14 tBodyAccmeanX 0.271959598644068
80 2 14 tBodyAccmeanX 0.26242106612963
81 3 14 tBodyAccmeanX 0.293422115555556
82 4 14 tBodyAccmeanX 0.279990577037037
83 5 14 tBodyAccmeanX 0.280545613833333
84 6 14 tBodyAccmeanX 0.233275439803922
85 1 15 tBodyAccmeanX 0.273899207962963
86 2 15 tBodyAccmeanX 0.270187595833333
87 3 15 tBodyAccmeanX 0.280198851190476
88 4 15 tBodyAccmeanX 0.27290337979661
89 5 15 tBodyAccmeanX 0.278915803962264
90 6 15 tBodyAccmeanX 0.2894756525
91 1 16 tBodyAccmeanX 0.276023564509804
92 2 16 tBodyAccmeanX 0.255986102627451
93 3 16 tBodyAccmeanX 0.295586802191489
94 4 16 tBodyAccmeanX 0.280768574492754
95 5 16 tBodyAccmeanX 0.283497402948718
96 6 16 tBodyAccmeanX 0.274227162571429
97 1 17 tBodyAccmeanX 0.272341855245902
98 2 17 tBodyAccmeanX 0.252604768583333
99 3 17 tBodyAccmeanX 0.29391828326087
100 4 17 tBodyAccmeanX 0.2773570196875
101 5 17 tBodyAccmeanX 0.277942503333333
102 6 17 tBodyAccmeanX 0.269780085577465
103 1 18 tBodyAccmeanX 0.273887758571429
104 2 18 tBodyAccmeanX 0.265401201896552
105 3 18 tBodyAccmeanX 0.288439468909091
106 4 18 tBodyAccmeanX 0.27727001877193
107 5 18 tBodyAccmeanX 0.278458805890411
108 6 18 tBodyAccmeanX 0.274691576923077
109 1 19 tBodyAccmeanX 0.273931172307692
110 2 19 tBodyAccmeanX 0.242118808925
111 3 19 tBodyAccmeanX 0.262688053871795
112 4 19 tBodyAccmeanX 0.273830316164384
113 5 19 tBodyAccmeanX 0.27817226
114 6 19 tBodyAccmeanX 0.272653733493976
115 1 20 tBodyAccmeanX 0.272589336470588
116 2 20 tBodyAccmeanX 0.252098317156863
117 3 20 tBodyAccmeanX 0.296144421355556
118 4 20 tBodyAccmeanX 0.278045439090909
119 5 20 tBodyAccmeanX 0.278076904657534
120 6 20 tBodyAccmeanX 0.239507882205882
121 1 21 tBodyAccmeanX 0.279183526730769
122 2 21 tBodyAccmeanX 0.265194544680851
123 3 21 tBodyAccmeanX 0.3014610196
124 4 21 tBodyAccmeanX 0.277539616823529
125 5 21 tBodyAccmeanX 0.27695224258427
126 6 21 tBodyAccmeanX 0.271325472455556
127 1 22 tBodyAccmeanX 0.27886459
128 2 22 tBodyAccmeanX 0.248391534566667
129 3 22 tBodyAccmeanX 0.284458963861111
130 4 22 tBodyAccmeanX 0.273583822709677
131 5 22 tBodyAccmeanX 0.279053861587302
132 6 22 tBodyAccmeanX 0.279959721194444
133 1 23 tBodyAccmeanX 0.273211884237288
134 2 23 tBodyAccmeanX 0.249995171031373
135 3 23 tBodyAccmeanX 0.289897411148148
136 4 23 tBodyAccmeanX 0.273351251617647
137 5 23 tBodyAccmeanX 0.277899323235294
138 6 23 tBodyAccmeanX 0.274038007986111
139 1 24 tBodyAccmeanX 0.276980816034483
140 2 24 tBodyAccmeanX 0.269881106779661
141 3 24 tBodyAccmeanX 0.288631208909091
142 4 24 tBodyAccmeanX 0.273475690147059
143 5 24 tBodyAccmeanX 0.280348883913043
144 6 24 tBodyAccmeanX 0.272850494930556
145 1 25 tBodyAccmeanX 0.278992759054054
146 2 25 tBodyAccmeanX 0.277995411384615
147 3 25 tBodyAccmeanX 0.291329666206897
148 4 25 tBodyAccmeanX 0.278541482461538
149 5 25 tBodyAccmeanX 0.278013701621622
150 6 25 tBodyAccmeanX 0.250791828613699
151 1 26 tBodyAccmeanX 0.279264443728814
152 2 26 tBodyAccmeanX 0.272691394545455
153 3 26 tBodyAccmeanX 0.2792845828
154 4 26 tBodyAccmeanX 0.258243530166667
155 5 26 tBodyAccmeanX 0.281127035405405
156 6 26 tBodyAccmeanX 0.271645864540789
157 1 27 tBodyAccmeanX 0.276849485438596
158 2 27 tBodyAccmeanX 0.265770253921569
159 3 27 tBodyAccmeanX 0.2975441875
160 4 27 tBodyAccmeanX 0.273941302571429
161 5 27 tBodyAccmeanX 0.279566921625
162 6 27 tBodyAccmeanX 0.274102492432432
163 1 28 tBodyAccmeanX 0.281228223888889
164 2 28 tBodyAccmeanX 0.262005841764706
165 3 28 tBodyAccmeanX 0.293642076521739
166 4 28 tBodyAccmeanX 0.276977629444444
167 5 28 tBodyAccmeanX 0.277795069113924
168 6 28 tBodyAccmeanX 0.2759134825
169 1 29 tBodyAccmeanX 0.271999916792453
170 2 29 tBodyAccmeanX 0.265423066877551
171 3 29 tBodyAccmeanX 0.293140441083333
172 4 29 tBodyAccmeanX 0.2771799775
173 5 29 tBodyAccmeanX 0.277965065846154
174 6 29 tBodyAccmeanX 0.287295196811594
175 1 30 tBodyAccmeanX 0.276406758
176 2 30 tBodyAccmeanX 0.271415642261538
177 3 30 tBodyAccmeanX 0.283190646967742
178 4 30 tBodyAccmeanX 0.268336081379032
179 5 30 tBodyAccmeanX 0.277112699152542
180 6 30 tBodyAccmeanX 0.281033900571429
181 1 1 tBodyAccmeanY -0.0173838185273684
182 2 1 tBodyAccmeanY -0.0239531492643396
183 3 1 tBodyAccmeanY -0.00991850461020408
184 4 1 tBodyAccmeanY -0.00130828765170213
185 5 1 tBodyAccmeanY -0.0161375901037736
186 6 1 tBodyAccmeanY -0.0405139534294
187 1 2 tBodyAccmeanY -0.0185949199145763
188 2 2 tBodyAccmeanY -0.0214121132045833
189 3 2 tBodyAccmeanY -0.0226614158361702
190 4 2 tBodyAccmeanY -0.0156879937282609
191 5 2 tBodyAccmeanY -0.0184208270166667
192 6 2 tBodyAccmeanY -0.0181587397583333
193 1 3 tBodyAccmeanY -0.0171767844203448
194 2 3 tBodyAccmeanY -0.0324109410555932
195 3 3 tBodyAccmeanY -0.0193554079328571
196 4 3 tBodyAccmeanY -0.00350299841730769
197 5 3 tBodyAccmeanY -0.0143376555065574
198 6 3 tBodyAccmeanY -0.0189556785048387
199 1 4 tBodyAccmeanY -0.0148399475341667
200 2 4 tBodyAccmeanY -0.0319804295729615
201 3 4 tBodyAccmeanY -0.00980200850666667
202 4 4 tBodyAccmeanY -0.007163065158
203 5 4 tBodyAccmeanY -0.00948911098553571
204 6 4 tBodyAccmeanY -0.0150031841055556
205 1 5 tBodyAccmeanY -0.0172850317482679
206 2 5 tBodyAccmeanY -0.0325269755153191
207 3 5 tBodyAccmeanY -0.00850107533191489
208 4 5 tBodyAccmeanY -0.00990083527045455
209 5 5 tBodyAccmeanY -0.00700418554517857
210 6 5 tBodyAccmeanY -0.0183042123269231
211 1 6 tBodyAccmeanY -0.0168954189082456
212 2 6 tBodyAccmeanY -0.0272425385070588
